code				
date				
speciment_type				
experiment_type				
remark				
				
~~~~~~~~~~				
NO	POSITION	SAMPLE	VALUE	VOLUME
1	A01			
2	A02			
3	A03			
4	A04			
5	A05			
6	A06			
7	A07			
8	A08			
9	A09			
10	A10			
11	A11			
12	A12			
13	A13			
14	A14			
15	A15			
16	A16			
17	A17			
18	A18			
19	A19			
20	A20			
21	A21			
22	A22			
23	A23			
24	A24			
25	B01			
26	B02			
27	B03			
28	B04			
29	B05			
30	B06			
31	B07			
32	B08			
33	B09			
34	B10			
35	B11			
36	B12			
37	B13			
38	B14			
39	B15			
40	B16			
41	B17			
42	B18			
43	B19			
44	B20			
45	B21			
46	B22			
47	B23			
48	B24			
49	C01			
50	C02			
51	C03			
52	C04			
53	C05			
54	C06			
55	C07			
56	C08			
57	C09			
58	C10			
59	C11			
60	C12			
61	C13			
62	C14			
63	C15			
64	C16			
65	C17			
66	C18			
67	C19			
68	C20			
69	C21			
70	C22			
71	C23			
72	C24			
73	D01			
74	D02			
75	D03			
76	D04			
77	D05			
78	D06			
79	D07			
80	D08			
81	D09			
82	D10			
83	D11			
84	D12			
85	D13			
86	D14			
87	D15			
88	D16			
89	D17			
90	D18			
91	D19			
92	D20			
93	D21			
94	D22			
95	D23			
96	D24			
97	E01			
98	E02			
99	E03			
100	E04			
101	E05			
102	E06			
103	E07			
104	E08			
105	E09			
106	E10			
107	E11			
108	E12			
109	E13			
110	E14			
111	E15			
112	E16			
113	E17			
114	E18			
115	E19			
116	E20			
117	E21			
118	E22			
119	E23			
120	E24			
121	F01			
122	F02			
123	F03			
124	F04			
125	F05			
126	F06			
127	F07			
128	F08			
129	F09			
130	F10			
131	F11			
132	F12			
133	F13			
134	F14			
135	F15			
136	F16			
137	F17			
138	F18			
139	F19			
140	F20			
141	F21			
142	F22			
143	F23			
144	F24			
145	G01			
146	G02			
147	G03			
148	G04			
149	G05			
150	G06			
151	G07			
152	G08			
153	G09			
154	G10			
155	G11			
156	G12			
157	G13			
158	G14			
159	G15			
160	G16			
161	G17			
162	G18			
163	G19			
164	G20			
165	G21			
166	G22			
167	G23			
168	G24			
169	H01			
170	H02			
171	H03			
172	H04			
173	H05			
174	H06			
175	H07			
176	H08			
177	H09			
178	H10			
179	H11			
180	H12			
181	H13			
182	H14			
183	H15			
184	H16			
185	H17			
186	H18			
187	H19			
188	H20			
189	H21			
190	H22			
191	H23			
192	H24			
193	I01			
194	I02			
195	I03			
196	I04			
197	I05			
198	I06			
199	I07			
200	I08			
201	I09			
202	I10			
203	I11			
204	I12			
205	I13			
206	I14			
207	I15			
208	I16			
209	I17			
210	I18			
211	I19			
212	I20			
213	I21			
214	I22			
215	I23			
216	I24			
217	J01			
218	J02			
219	J03			
220	J04			
221	J05			
222	J06			
223	J07			
224	J08			
225	J09			
226	J10			
227	J11			
228	J12			
229	J13			
230	J14			
231	J15			
232	J16			
233	J17			
234	J18			
235	J19			
236	J20			
237	J21			
238	J22			
239	J23			
240	J24			
241	K01			
242	K02			
243	K03			
244	K04			
245	K05			
246	K06			
247	K07			
248	K08			
249	K09			
250	K10			
251	K11			
252	K12			
253	K13			
254	K14			
255	K15			
256	K16			
257	K17			
258	K18			
259	K19			
260	K20			
261	K21			
262	K22			
263	K23			
264	K24			
265	L01			
266	L02			
267	L03			
268	L04			
269	L05			
270	L06			
271	L07			
272	L08			
273	L09			
274	L10			
275	L11			
276	L12			
277	L13			
278	L14			
279	L15			
280	L16			
281	L17			
282	L18			
283	L19			
284	L20			
285	L21			
286	L22			
287	L23			
288	L24			
289	M01			
290	M02			
291	M03			
292	M04			
293	M05			
294	M06			
295	M07			
296	M08			
297	M09			
298	M10			
299	M11			
300	M12			
301	M13			
302	M14			
303	M15			
304	M16			
305	M17			
306	M18			
307	M19			
308	M20			
309	M21			
310	M22			
311	M23			
312	M24			
313	N01			
314	N02			
315	N03			
316	N04			
317	N05			
318	N06			
319	N07			
320	N08			
321	N09			
322	N10			
323	N11			
324	N12			
325	N13			
326	N14			
327	N15			
328	N16			
329	N17			
330	N18			
331	N19			
332	N20			
333	N21			
334	N22			
335	N23			
336	N24			
337	O01			
338	O02			
339	O03			
340	O04			
341	O05			
342	O06			
343	O07			
344	O08			
345	O09			
346	O10			
347	O11			
348	O12			
349	O13			
350	O14			
351	O15			
352	O16			
353	O17			
354	O18			
355	O19			
356	O20			
357	O21			
358	O22			
359	O23			
360	O24			
361	P01			
362	P02			
363	P03			
364	P04			
365	P05			
366	P06			
367	P07			
368	P08			
369	P09			
370	P10			
371	P11			
372	P12			
373	P13			
374	P14			
375	P15			
376	P16			
377	P17			
378	P18			
379	P19			
380	P20			
381	P21			
382	P22			
383	P23			
384	P24			
